case_id,identity_case_id,description,threat,at_war,boxed_in,peaceful_expansion_available,legal_claim_target,legal_conquest_target,economic_recovery_required,post_completion_runway_safe,fleet_ship_count,template_count,template_target_size,template_current_size,naval_capacity_used,naval_capacity,shipyard_capacity,shipyard_queued,tracked_resource_capacity,tracked_resource_use,expected_fleet,expected_research,expected_expansion,expected_defense,expected_diplomacy,expected_fleet_presence,expected_template_state,expected_shipyard_state,expected_headroom_state,expected_resource_capacity_state,expected_resource_use_state,expected_creation_gap,expected_expansion_gap,expected_reinforcement_demand,expected_defense_pressure,expected_claims_pressure,expected_new_hulls_pressure
low_capacity_low_use,erudite_research,Small capacity and no use are not an emergency,false,false,false,true,false,false,false,true,0,0,,,0,1,1,0,1,0,hold,lead,peaceful,normal,transactional,no_fleet,absent,idle,available,positive,unused,true,false,0,neutral,suppress,neutral
exterminator_no_templates,purifier,No template does not mean desired force demand is satisfied,false,false,false,false,false,true,false,true,0,0,,,0,100,8,0,100,1,expand,preserve,conquest,normal,exterminating,no_fleet,absent,idle,available,positive,in_use,true,false,0,emphasize,suppress,urgent
conquest_filled_tiny,honorbound_conquest,Filled tiny template exposes an expansion gap,false,false,false,false,true,true,false,true,1,1,1,1,1,100,4,0,100,1,expand,preserve,conquest,normal,transactional,present,filled,idle,available,positive,in_use,false,true,0,emphasize,emphasize,urgent
pacifist_boxed_no_target,inward_defensive,Pacifist without a legal target cannot select conquest,false,false,true,false,false,false,false,true,5,1,5,5,5,10,1,0,10,1,hold,preserve,no_expansion,frontier,transactional,present,filled,idle,available,positive,in_use,false,true,0,emphasize,suppress,neutral
diplomatic_safe,spiritual_diplomat,Diplomatic safe baseline for threat comparison,false,false,false,true,false,false,false,true,5,1,5,5,5,10,1,1,10,1,hold,preserve,peaceful,normal,cooperative,present,filled,saturated,available,positive,in_use,false,false,0,neutral,suppress,neutral
diplomatic_threat,spiritual_diplomat,Threat raises bounded defense without changing identity,true,false,false,true,false,false,false,true,5,1,5,5,5,10,1,0,10,1,emergency_defense,preserve,peaceful,emergency,cooperative,present,filled,idle,available,positive,in_use,false,true,0,urgent,suppress,emphasize
research_crisis,erudite_research,Research identity preserves research under external threat,true,false,false,false,false,false,false,true,0,0,,,0,20,2,0,20,1,emergency_defense,lead,no_expansion,emergency,transactional,no_fleet,absent,idle,available,positive,in_use,true,false,0,urgent,suppress,emphasize
recovery_dominates_extermination,purifier,Recovery suppresses discretionary expansion despite identity,false,false,false,false,false,true,true,true,0,0,,,0,100,8,0,1,1,hold,preserve,no_expansion,normal,exterminating,no_fleet,absent,idle,available,positive,in_use,true,false,0,deemphasize,suppress,deemphasize
unsafe_runway_dominates_threat,honorbound_conquest,Unsafe completion runway suppresses spending even under threat,true,false,false,false,true,true,false,false,1,1,1,1,1,100,4,0,1,1,hold,preserve,no_expansion,emergency,transactional,present,filled,idle,available,positive,in_use,false,true,0,suppress,suppress,suppress
unknown_naval_capacity,honorbound_conquest,Missing capacity keeps headroom explicitly unknown,false,false,false,false,false,true,false,true,0,0,,,0,,1,0,1,0,hold,preserve,conquest,normal,transactional,no_fleet,absent,idle,unknown,positive,unused,true,false,0,emphasize,suppress,emphasize
zero_naval_capacity,honorbound_conquest,Known zero capacity is distinct from unknown,false,false,false,false,false,true,false,true,0,0,,,0,0,1,0,1,0,hold,preserve,conquest,normal,transactional,no_fleet,absent,idle,no_headroom,positive,unused,true,false,0,emphasize,suppress,emphasize
gestalt_peaceful_growth,ordinary_hive,Ordinary gestalt keeps peaceful growth pressure,false,false,false,true,false,false,false,true,0,0,,,0,10,1,0,10,0,hold,preserve,peaceful,normal,transactional,no_fleet,absent,idle,available,positive,unused,true,false,0,neutral,suppress,neutral
