surface,lever_or_object,evidence,classification,next_step
identity,Starbase Extended 3.0,"Active source root load_position 72; Steam ID 3250900527; descriptor name Starbase Extended 3.0; supported_version v4.**.*",safe_evidence_anchor,Use this exact identity for future Starbase Extended work
dependency,NSC3,"Active source root load_position 71; conflict rows show Starbase Extended wins many NSC3 starbase ship-size and section-template rows",caveat,Do not touch ship sizes or sections without a narrower conflict map
dependency,UI Overhaul Dynamic,"Active source root load_position 103; Starbase Extended contains starbase GUI/GFX surfaces outside this slice",deferred_runtime_ui,Do not claim starbase UI slot readiness without runtime/UI evidence
dependency,Universal Resource Patch,"Active source root load_position 119; Universal Modifier Patch not found by exact active-root query",caveat,Do not treat URP as a substitute for UMP or Expanded Mods Base
scope,starbase_buildings,"35 Starbase Extended building objects; 35 have ai_weight; 27 have potential; 12 have possible; max nested owner refs 4",safe_with_object_review,Refine only selected copied defense buildings with preserved source gates
scope,starbase_modules,"15 Starbase Extended module objects; 15 have ai_weight; 12 have potential; 1 has possible; max nested owner refs 4",safe_with_object_review,Refine only selected copied defense modules with preserved source gates
director_override,common/starbase_buildings/zzzz_staid_05_starbase_defense_starbase_buildings.txt,"Generated reference audit 17/17 ok; conflict audit marks four starbase building objects intentional Director overrides",safe_current_surface,Keep provenance and economy gates when changing weights
director_override,common/starbase_modules/zzzz_staid_05_starbase_defense_starbase_modules.txt,"Generated reference audit 44/44 ok; conflict audit marks ten starbase module objects intentional Director overrides",safe_current_surface,Keep provenance and economy gates when changing weights
forbidden,common/ship_sizes,"Active conflict matrix shows Starbase Extended winning many vanilla/NSC3 starbase ship-size objects",forbidden_without_new_proof,Require object graph conflict map and runtime evidence before generation
forbidden,common/section_templates,"Active conflict matrix shows Starbase Extended winning many vanilla/NSC3 starbase and orbital-ring sections",forbidden_without_new_proof,Require section graph conflict map and UI/runtime evidence before generation
forbidden,component_sets_component_templates,"Conflict rows show Starbase Extended overrides NSC3 starbase component sets/templates",forbidden_without_new_proof,Do not generate component overrides in defense gate pass
forbidden,interface_gfx_gui,"Starbase Extended has starbase UI/GFX surfaces and UIOD is active, but this slice has no UI runtime proof",forbidden_without_runtime,Defer to UI smoke checklist and runtime screenshot evidence
irony,Analyze Only,"Irony executable reports version 1.27.192.32361; prior Analyze Only artifact exists for ai_budget only; no fresh Starbase UI Analyze Only export produced",limited,Use active conflict matrix for T22 research and do not claim Irony UI proof
