id,title,url,type,retrieved,trust,used_for,notes
S001,Paradox Interactive Launches Major Expansion and Free Update for Stellaris,https://www.paradoxinteractive.com/media/press-releases/press-release/paradox-interactive-launches-major-expansion-and-free-update-for-stellaris,primary / publisher press release,2026-07-04,high,"4.4 Pegasus and Nomads launch date; Arkships, Waylines, Contracts, join/leave wars, job-system and Situation Log/UI changes","Lines observed: Jun 15 2026 launch, Nomads + free 4.4 Pegasus update; features include Nomadic Empires, Arkships, Wayline Networks, Contract System."
S002,Steam Community: Stellaris 4.4.4 patch released (5505),https://steamcommunity.com/app/281990/allnews/,primary / official Steam news,2026-07-04,high,latest stable patch status; 4.4.4 download availability and checksum; 4.4.4 bugfix implications for Arkship/Waystation/Nomad compatibility,"Steam all-news page showed title “Stellaris 4.4.4 patch released (5505)”, Jun 24, and says 4.4.4 ready for Steam, GOG, MS Store."
S003,Steam Community: Stellaris 4.4.5 “Pegasus” Early Open Beta (c22e) now available,https://steamcommunity.com/app/281990/allnews/,primary / official Steam news,2026-07-04,high,"4.4.5 beta branch status; early beta caveats; Resource Abundance, Waystation Voidlure, Arkship Voidlure, automation changes",Steam all-news page showed Jun 25 early beta on stellaris_test with minimal QA warning and ongoing notes.
S004,SteamDB mirror of Stellaris Dev Diary #427 - Second Open Beta,https://steamdb.info/patchnotes/24002622/,mirrored official Steam update notes,2026-07-04,medium-high,updated 4.4.5 beta modding changes; 4.5 Cygnus open beta warnings and modding changes,"SteamDB mirrors Steam Community notes. It showed 2 July 2026 update text: 4.4.5 beta on stellaris_test, situation/custom_tooltip/starbase/automation/home_colony additions, and 4.5 pop ethics/faction breaking change."
S005,Paradox Interactive: Stellaris Update 4.0,https://www.paradoxinteractive.com/games/stellaris/news/stellaris-update-4-0,primary / publisher news,2026-07-04,high,"4.0 Phoenix structural break: pop groups, workforce, species modification, trade/logistics, planet UI, district specializations","Paradox explains pop grouping, workforce assigned to jobs, simultaneous growth, trade route removal, trade/logistics resource, and planet UI/jobs/district specializations."
S006,Stellaris Wiki: Patch 4.0,https://stellaris.paradoxwikis.com/Patch_4.0,official community wiki / patch page,2026-07-04,medium-high,Patch 4.0 feature inventory and modding impact matrix,"Wiki says 4.0 Phoenix was released 2025-05-05 with checksum 1ae3, notes 4.0 was not public and 4.0.1 was first public 4.0.x branch; lists planetary economy rework, Pop Groups & Workforce, trade revamp, etc."
S007,Stellaris Wiki: Modding tutorial,https://stellaris.paradoxwikis.com/Modding_tutorial,official community wiki / tutorial,2026-07-04,high for mod-structure basics,"descriptor files, Windows storage path, folder mirroring, common folders, naming, CWTools/tool recommendations, logs, launch parameters, debug workflow, event basics, Git recommendation","Important lines: two descriptors; outer .mod path in Documents/.../mod, inner descriptor.mod no path; supported_version is visual only; never edit install folder; mirror install structure; tools/logs/debug flags."
S008,Stellaris Wiki: Localisation modding,https://stellaris.paradoxwikis.com/Localisation_modding,official community wiki,2026-07-04,high for localisation file rules,"localisation folder spelling, UTF-8 BOM, filename suffix, first-line language key, no fallback language, localisation/replace LIOS overwrite behavior","Page warns some sections older, but basics are stable and current in practice."
S009,Stellaris Wiki: Scopes,https://stellaris.paradoxwikis.com/Scopes,official community wiki,2026-07-04,medium-high,"scope model, THIS/PREV/FROM/ROOT, exists checks, trigger/effect scope errors, any_/every_/random_ behavior, event targets","Page notes some sections older, so use trigger_docs/current vanilla script docs for final validation."
S010,Stellaris Wiki: Console commands,https://stellaris.paradoxwikis.com/Console_commands,official community wiki,2026-07-04,medium,"console access, non-Ironman restriction, debugtooltip ID inspection, achievements disabled, help command",Page verified for PC 4.2; report flags command names as requiring in-console verification on 4.4.x.
S011,Irony Mod Manager homepage,https://bcssov.github.io/IronyModManager/,tool documentation,2026-07-04,high for Irony capabilities,"Irony features, supported Stellaris, FIOS/LIOS understanding, deterministic load-order management, conflict awareness","Homepage says Irony originally built for Stellaris and understands game structures, FIOS/LIOS, deterministic load order."
S012,Steam Community discussion: Irony Mod Manager advanced conflict solver,https://steamcommunity.com/workshop/discussions/18446744073709551615/2574319296481107914/?appid=281990,community tool author discussion,2026-07-04,medium,FIOS/LIOS explanation; why filename-only conflict checking is inadequate; patch mod generation; not every conflict needs patching,"Useful for practical load-order behavior, but not official Paradox docs."
S013,CWTools: Get started,https://cwtools.github.io/get-started.html,tool documentation,2026-07-04,high for CWTools usage,"VS Code extension setup, open mod folder, select vanilla folder, scan errors, use Git, Windows/Linux mod-folder examples",CWTools page explicitly recommends backups/Git and shows Windows/Linux mod folders.
S014,cwtools-action GitHub repository,https://github.com/cwtools/cwtools-action,tool source/documentation,2026-07-04,high for CI validation concept,automated PDXScript validation in CI; dependency on validation rules and vanilla cache; full cache needed for accurate load-order/file-override validation,Good for professional mod maintenance workflows.
S015,GitHub: 3v4d3/GalacticConclave,https://github.com/3v4d3/GalacticConclave,public repository,2026-07-04,medium,"LLM diplomacy companion architecture: save parser, LLM client, command file + run command bridge, local/cloud LLM support, Ironman restriction","Small/new repo; claims need verification by running code, but README is direct source for project architecture."
S016,GitHub: Dfintz/Stellaris_Overmind,https://github.com/Dfintz/Stellaris_Overmind,public repository,2026-07-04,medium,LLM strategic advisor and AI-empires macro-strategy steering; save polling; personality/stat overrides while native AI executes micro decisions,README reports version-locked knowledge examples and specific architecture. Treat as prototype until tested.
S017,GitHub: gitmaan/stellaris-companion,https://github.com/gitmaan/stellaris-companion,public repository,2026-07-04,medium,"AI save analyzer / strategic advisor, MCP relay into Claude/Codex, local save privacy, Rust parser",External advisor rather than runtime empire controller.
S018,Steam Workshop: Beachboys Fair AI 2,https://steamcommunity.com/sharedfiles/filedetails/?id=3464924561,Steam Workshop listing / community comments,2026-07-04,low-medium,example of AI-assisted mod-development claims and community skepticism; not evidence of runtime LLM in-game,Listing claims designed with ChatGPT; comments allege syntax/structure issues. Useful as warning: AI assistance requires vanilla-schema validation.
S019,Stellaris Wiki: Mods search result / mod-folder OS paths,https://stellaris.paradoxwikis.com/Mods,official community wiki search-result snippet; page challenge blocked full open,2026-07-04,medium,Linux and macOS mod-folder paths when full page was blocked by client challenge,Search snippet showed Linux ~/.local/share/Paradox Interactive/Stellaris/mod/ and Mac OS ~/Documents/Paradox Interactive/Stellaris/mod/.
S020,Stellaris Wiki: Save-game editing search result / save paths,https://stellaris.paradoxwikis.com/Save-game_editing,official community wiki search-result snippet,2026-07-04,medium,save-game path background for external tools; not central to mod folder rules,Used only for save-path context and external AI tooling.
